model,threshold,fpr_normal,recall,precision,f1,youden,events_detected,recall_fire,recall_dust_humidity,recall_power_outage,label,threshold_source
GCN,1.9025464296340973,0.0226,0.0896,0.4615,0.15,0.067,3/3,0.04,0.04,0.2353,p90,val 90th pct
GCN,3.3912467479705812,0.0161,0.0597,0.4444,0.1053,0.0436,2/3,0.0,0.02,0.2059,p92.5,val 92.5th pct
GCN,6.25452492237091,0.0129,0.0448,0.4286,0.0811,0.0319,1/3,0.0,0.0,0.1765,p95,val 95th pct
GCN,158.01803207397413,0.0032,0.0,0.0,0.0,-0.0032,0/3,0.0,0.0,0.0,p97.5,val 97.5th pct
GCN,440.0631842041046,0.0016,0.0,0.0,0.0,-0.0016,0/3,0.0,0.0,0.0,p99,val 99th pct
GCN,0.047782811267541886,1.0,1.0,0.1777,0.3018,0.0,3/3,1.0,1.0,1.0,max_F1,max-F1 sweep
GCN,9.153902989432789,0.0129,0.0299,0.3333,0.0548,0.0169,1/3,0.0,0.0,0.1176,max_Youden,max-Youden sweep
GIN,1.1207368135452276,0.0274,0.0821,0.3929,0.1358,0.0547,3/3,0.02,0.04,0.2353,p90,val 90th pct
GIN,2.289822393655781,0.0145,0.0597,0.4706,0.106,0.0452,2/3,0.0,0.02,0.2059,p92.5,val 92.5th pct
GIN,5.550394082069382,0.0129,0.0448,0.4286,0.0811,0.0319,1/3,0.0,0.0,0.1765,p95,val 95th pct
GIN,164.0208839416488,0.0032,0.0,0.0,0.0,-0.0032,0/3,0.0,0.0,0.0,p97.5,val 97.5th pct
GIN,452.7150173950219,0.0016,0.0,0.0,0.0,-0.0016,0/3,0.0,0.0,0.0,p99,val 99th pct
GIN,0.02294403214590454,1.0,1.0,0.1777,0.3018,0.0,3/3,1.0,1.0,1.0,max_F1,max-F1 sweep
GIN,9.438793373026714,0.0129,0.0299,0.3333,0.0548,0.0169,1/3,0.0,0.0,0.1176,max_Youden,max-Youden sweep
SAT-Graph,1.7767960548400907,0.0758,0.0597,0.1455,0.0847,-0.0161,1/3,0.0,0.0,0.2353,p90,val 90th pct
SAT-Graph,12.229877996444705,0.0177,0.0224,0.2143,0.0405,0.0046,1/3,0.0,0.0,0.0882,p92.5,val 92.5th pct
SAT-Graph,32.070326423644936,0.0129,0.0,0.0,0.0,-0.0129,0/3,0.0,0.0,0.0,p95,val 95th pct
SAT-Graph,359.48864669799224,0.0032,0.0,0.0,0.0,-0.0032,0/3,0.0,0.0,0.0,p97.5,val 97.5th pct
SAT-Graph,970.2258935546932,0.0016,0.0,0.0,0.0,-0.0016,0/3,0.0,0.0,0.0,p99,val 99th pct
SAT-Graph,0.019069204969572068,1.0,1.0,0.1777,0.3018,0.0,3/3,1.0,1.0,1.0,max_F1,max-F1 sweep
SAT-Graph,16.272342031319376,0.0145,0.0224,0.25,0.0411,0.0079,1/3,0.0,0.0,0.0882,max_Youden,max-Youden sweep
